Image Name,Channel,Spot Name,Signal,Total,Area,Bkgnd.,Type
0001205_02,Chemi,A01,22610.75,24278.25,145,11.5,Signal
0001205_02,Chemi,A02,24176.3125,25843.8125,145,11.5,Signal
0001205_02,Chemi,A03,25124.25,26791.75,145,11.5,Signal
0001205_02,Chemi,A04,30866.875,32534.375,145,11.5,Signal
0001205_02,Chemi,A05,28372.625,30040.125,145,11.5,Signal
0001205_02,Chemi,A06,25048.5,26716,145,11.5,Signal
0001205_02,Chemi,A07,30599,32266.5,145,11.5,Signal
0001205_02,Chemi,A08,26611.375,28278.875,145,11.5,Signal
0001205_02,Chemi,A09,26295.875,27963.375,145,11.5,Signal
0001205_02,Chemi,A10,28867.125,30534.625,145,11.5,Signal
0001205_02,Chemi,A11,20419.46875,22086.96875,145,11.5,Signal
0001205_02,Chemi,A12,25298.40625,26965.90625,145,11.5,Signal
0001205_02,Chemi,A13,22932.625,24600.125,145,11.5,Signal
0001205_02,Chemi,A14,24644.5,26312,145,11.5,Signal
0001205_02,Chemi,A15,16782.15625,18449.65625,145,11.5,Signal
0001205_02,Chemi,A16,24933.1875,26600.6875,145,11.5,Signal
0001205_02,Chemi,A17,30307.6875,31975.1875,145,11.5,Signal
0001205_02,Chemi,A18,79.1015625,1746.601563,145,11.5,Signal
0001205_02,Chemi,B01,26907.3125,28574.8125,145,11.5,Signal
0001205_02,Chemi,B02,14311.25,15978.75,145,11.5,Signal
0001205_02,Chemi,B03,32254.5,33922,145,11.5,Signal
0001205_02,Chemi,B04,39090,40757.5,145,11.5,Signal
0001205_02,Chemi,B05,27861.5,29529,145,11.5,Signal
0001205_02,Chemi,B06,8791.78125,10459.28125,145,11.5,Signal
0001205_02,Chemi,B07,31223.875,32891.375,145,11.5,Signal
0001205_02,Chemi,B08,9667.0625,11334.5625,145,11.5,Signal
0001205_02,Chemi,B09,16357.5625,18025.0625,145,11.5,Signal
0001205_02,Chemi,B10,51675.125,53342.625,145,11.5,Signal
0001205_02,Chemi,B11,3413.921875,5081.421875,145,11.5,Signal
0001205_02,Chemi,B12,5092.640625,6760.140625,145,11.5,Signal
0001205_02,Chemi,B13,28364.375,30031.875,145,11.5,Signal
0001205_02,Chemi,B14,3576.3125,5243.8125,145,11.5,Signal
0001205_02,Chemi,B15,5324.375,6991.875,145,11.5,Signal
0001205_02,Chemi,B16,30116.8125,31784.3125,145,11.5,Signal
0001205_02,Chemi,B17,36420.3125,38087.8125,145,11.5,Signal
0001205_02,Chemi,B18,556.8671875,2224.367188,145,11.5,Signal
0001205_02,Chemi,C01,19555.1875,21222.6875,145,11.5,Signal
0001205_02,Chemi,C02,17970.375,19637.875,145,11.5,Signal
0001205_02,Chemi,C03,17461.125,19128.625,145,11.5,Signal
0001205_02,Chemi,C04,15524.6875,17192.1875,145,11.5,Signal
0001205_02,Chemi,C05,24806.875,26474.375,145,11.5,Signal
0001205_02,Chemi,C06,3903.25,5570.75,145,11.5,Signal
0001205_02,Chemi,C07,10181.5625,11849.0625,145,11.5,Signal
0001205_02,Chemi,C08,2117.328125,3784.828125,145,11.5,Signal
0001205_02,Chemi,C09,4003.578125,5671.078125,145,11.5,Signal
0001205_02,Chemi,C10,9338.625,11006.125,145,11.5,Signal
0001205_02,Chemi,C11,24851.75,26519.25,145,11.5,Signal
0001205_02,Chemi,C12,2933.625,4601.125,145,11.5,Signal
0001205_02,Chemi,C13,30116.875,31784.375,145,11.5,Signal
0001205_02,Chemi,C14,901.4453125,2568.945313,145,11.5,Signal
0001205_02,Chemi,C15,812.375,2479.875,145,11.5,Signal
0001205_02,Chemi,C16,31926.4375,33593.9375,145,11.5,Signal
0001205_02,Chemi,C17,44505,46172.5,145,11.5,Signal
0001205_02,Chemi,C18,1151.804688,2819.304688,145,11.5,Signal
0001205_02,Chemi,D01,17308.75,18976.25,145,11.5,Signal
0001205_02,Chemi,D02,13155.5,14823,145,11.5,Signal
0001205_02,Chemi,D03,46399.5,48067,145,11.5,Signal
0001205_02,Chemi,D04,41839,43506.5,145,11.5,Signal
0001205_02,Chemi,D05,65776.5,67444,145,11.5,Signal
0001205_02,Chemi,D06,9345.1875,11012.6875,145,11.5,Signal
0001205_02,Chemi,D07,31598.875,33266.375,145,11.5,Signal
0001205_02,Chemi,D08,12216.4375,13883.9375,145,11.5,Signal
0001205_02,Chemi,D09,19879.9375,21547.4375,145,11.5,Signal
